시군명,공원명칭,도로명주소,전화번호,휴무일,이용시간,주차시설,주변명소
양구군,DMZ자생식물원,강원도 양구군 펀치볼로 916-70,033-480-3034,연중개방,상시이용 가능,주차가능,"국토정중앙천문대, 양구생태식물원, 광치자연휴양림"
삼척시,수로부인 헌화공원,강원도 삼척시 원덕읍 임원항구로 33-17,033-570-3841,,상시이용 가능,주차가능,"임원항, 임원해수욕장, 검봉산"
영월군,아트미로공원,강원도 영월군 김삿갓면 영월동로 1121-32,033-372-6871,연중무휴,하절기 09:00~18:00 / 동절기 09:00~17:00,주차가능,"고씨동굴, 술샘박물관, 김삿갓 문학관"
인제군,내린천수변공원,강원도 인제군 인제읍 내린천로 5693,033-460-2170(인제관광정보센터),,상시이용 가능,,"내린천 계곡, 짚트랙, 내린천 홍보관"
철원군,군탄공원과 전적비,강원도 철원군 갈말읍 호국로 4914-27,033-450-5058,,상시이용 가능,주차가능,"고석정, 한탄강, 철원노동당사"
평창군,이효석 가산공원,강원도 평창군 봉평면 효석문학길 9-5,033-330-2541,연중무휴,상시이용 가능,,"이효석 생가, 이효석 문학관, 이효석 문학의 숲"
정선군,하늘숲공원,강원 정선군 고한읍 고한리 산 216-34,1544-9053,,상시이용 가능,주차가능,"태백고원자연휴양림, 모터스포츠레져단지, 태백산"
화천군,겨례리수목공원,강원도 화천군 하남면 겨례리 514-1,033-442-1211,연중개방,상시이용 가능,주차가능,"비수구미, 광덕계곡, 오봉산"
양구군,양구군민공원,강원도 양구군 양구읍 상리,033-480-2251,연중개방,상시이용 가능,주차가능,"국토정중앙천문대, 광치계곡, 펀치볼"
양구군,양구해시계,강원도 양구군 중앙길 53,033-480-2251,연중개방,상시이용 가능,주차가능,"국토정중앙천문대, 광치계곡, 펀치볼"
양구군,용머리공원,강원도 양구군 파로호로869번길 101,033-480-2251,연중개방,상시이용 가능,주차가능,"국토정중앙천문대, 광치계곡, 펀치볼"
양구군,청춘양구레포츠공원,강원도 양구군 박수근로 366-24,033-480-2251,12월~2월,상시이용 가능,주차가능,"파로호, 박수근미술관, 펀치볼"
고성군,거진등대해맞이공원,강원도 고성군 거탄진로209번길 19,033-670-2233,연중개방,상시이용 가능,주차가능,"통일전망대, 송지호 오토캠핑장, 화진포"
춘천시,공지천 조각공원,강원도 춘천시 옛경춘로 880,033-250-3089,연중개방,상시이용 가능,주차가능,"공지천, 송암레포츠 타운, 삼악산"
원주시,장미공원,강원도 원주시 단계동 854,033-734-0978,연중개방,상시이용 가능,주차가능,"박경리문학공원, 덕동계곡, 무릉박물관"
원주시,치악산국립공원 황골지구,강원도 원주시 흥양리 185-1,033-732-2780,연중개방,상시이용 가능,주차가능,"강원도 자연학습원, 치악산 드림랜드, 큰돌농장"
원주시,행구수변공원,강원도 원주시 행구동 1026,033-742-2111,연중개방,상시이용 가능,주차가능,"기후변화 홍보관, 관음사, 충렬사"
강릉시,통일공원,강원도 강릉시 율곡로 1715-38,033-640-4469,연중개방,하절기 09:00~18:00 / 동절기 09:00~17:00,250대 주차가능,"염전해변, 등명락가사, 하슬라아트월드"
강릉시,모래시계공원,강원도 강릉시 헌화로 990-1,033-640-4536,연중개방,상시이용 가능,주차가능,"정동진해변, 정동진 조각공원, 솔향수목원"
동해시,천곡황금박쥐동굴 자연학습 체험공원,강원도 동해시 천곡동 1003,033-539-3630~1,연중개방,상시이용 가능,주차가능,"일출공원, 추암조각공원, 가원습지 생태자연공원"
동해시,추암근린공원,강원도 동해시 촛대바위2길,033-530-2801,연중개방,상시이용 가능,주차가능,"망상해수욕장, 무릉계곡, 묵호등대"
태백시,태백체험공원,강원도 태백시 태백산로 4833,033-550-2094,연중개방,09:00~18:00,주차가능,"석탄박물관, 용연동굴, 구문소"
속초시,설악산국립공원 설악동지구,강원도 속초시 설악산로 1091,033-801-0900,,상시이용 가능,주차가능,"신흥사, 흔들바위, 권금성"
