순번,읍면,공원 현황,개수,데이터기준일
1,보은읍,교사리 쌈지숲,1,2022-02-04
2,보은읍,누청마을쉼터,1,2022-02-04
3,보은읍,동편길쌈지숲,1,2022-02-04
4,보은읍,성주리 쉼터,1,2022-02-04
5,보은읍,성주리 도로변쉼터,1,2022-02-04
6,보은읍,통일탑 공원,1,2022-02-04
7,보은읍,삼산초등학교학교숲,1,2022-02-04
8,보은읍,스포츠파크 쌈지공원,1,2022-02-04
9,보은읍,태봉산 도시숲,1,2022-02-04
10,보은읍,이평교 소공원,1,2022-02-04
11,보은읍,대바위새마을공원,1,2022-02-04
12,보은읍,남산도시숲,1,2022-02-04
13,보은읍,뱃들공원,1,2022-02-04
14,보은읍,중동교 쉼터,1,2022-02-04
15,보은읍,군청숲,1,2022-02-04
16,보은읍,길상리도로변쉼터,1,2022-02-04
17,보은읍,교사체육관열린숲,1,2022-02-04
18,보은읍,은사뜰 소나무숲,1,2022-02-04
19,보은읍,장신리쉼터,1,2022-02-04
20,보은읍,금굴교차로 쌈지공원,1,2022-02-04
21,보은읍,용천산 도시숲,1,2022-02-04
22,보은읍,장신공원,1,2022-02-04
23,보은읍,삼산공원,1,2022-02-04
24,속리산면,속리산잔디조각공원,1,2022-02-04
25,속리산면,은구석공원,1,2022-02-04
26,속리산면,속리산면행정복지센터열린쉼터,1,2022-02-04
27,속리산면,북암리 하천변쉼터,1,2022-02-04
28,장안면,개안전통마을숲,1,2022-02-04
29,장안면,구인리도로변쉼터,1,2022-02-04
30,장안면,대궐터쉼터,1,2022-02-04
31,장안면,속리초등학교 학교숲,1,2022-02-04
32,장안면,장안면사무소 열림쉼터,1,2022-02-04
33,마로면,기대리 도로변쉼터,1,2022-02-04
34,마로면,적암리 도로변쉼터,1,2022-02-04
35,마로면,관기초등학교 학교숲,1,2022-02-04
36,마로면,수문리 마을쉼터,1,2022-02-04
37,탄부면,덕동리쉼터,1,2022-02-04
38,탄부면,탄부소공원(관기입구),1,2022-02-04
39,탄부면,벽지무궁화공원,1,2022-02-04
40,탄부면,임한리마을쉼터,1,2022-02-04
41,탄부면,지덕쉼터,1,2022-02-04
42,탄부면,성지리 도로변쉼터,1,2022-02-04
43,탄부면,평각리 마을쉼터,1,2022-02-04
44,탄부면,탄부면사무소 열린쉼터,1,2022-02-04
45,삼승면,상가마을쉼터,1,2022-02-04
46,삼승면,서원리 공원,1,2022-02-04
47,삼승면,달산리공원,1,2022-02-04
48,삼승면,원남소공원,1,2022-02-04
49,수한면,묘서리 도로변쉼터,1,2022-02-04
50,수한면,보청지구생태숲,1,2022-02-04
51,수한면,수리티재쉼터,1,2022-02-04
52,수한면,묘서2리 마을쉼터,1,2022-02-04
53,수한면,후평리 마을쉼터,1,2022-02-04
54,수한면,오정리 마을쉼터,1,2022-02-04
55,회남면,남대문쉼터,1,2022-02-04
56,회남면,분저리마을쉼터,1,2022-02-04
57,회인면,쌍암공원,1,2022-02-04
58,회인면,오동마을쉼터,1,2022-02-04
59,회인면,회인면사무소 열린쉼터,1,2022-02-04
60,회인면,피반령쉼터,1,2022-02-04
61,회인면,회인초등학교 열린쉼터,1,2022-02-04
62,회인면,중앙리마을쉼터,1,2022-02-04
63,회인면,구룡산 쉼터,1,2022-02-04
64,내북면,내북면사무소 열린쉼터,1,2022-02-04
65,내북면,서지리 마을쉼터,1,2022-02-04
66,내북면,봉황쉼터,1,2022-02-04
67,산외면,이식무궁화쉼터,1,2022-02-04
68,산외면,거북쉼터,1,2022-02-04
69,산외면,구티리 마을쉼터,1,2022-02-04
70,산외면,산외초등학교열린쉼터,1,2022-02-04
71,산외면,문암리 도로변쉼터,1,2022-02-04
72,산외면,중티리 마을쉼터,1,2022-02-04
