행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상
강원특별자치도  (5100000000),1527807 ,1527807 ,90872 ,129053 ,163610 ,158594 ,208819 ,262513 ,275323 ,141876 ,84135 ,12622 ,390 ,768449 ,768449 ,46463 ,66935 ,91639 ,84692 ,106310 ,135485 ,138020 ,65495 ,30543 ,2775 ,92 ,759358 ,759358 ,44409 ,62118 ,71971 ,73902 ,102509 ,127028 ,137303 ,76381 ,53592 ,9847 ,298 
강원특별자치도 강원특별자치도 춘천시 (5111000000),286426 ,286426 ,18917 ,26060 ,36972 ,34305 ,40807 ,46897 ,44359 ,21996 ,13913 ,2137 ,63 ,141419 ,141419 ,9659 ,13502 ,19722 ,17847 ,20109 ,23568 ,21557 ,9840 ,5065 ,527 ,23 ,145007 ,145007 ,9258 ,12558 ,17250 ,16458 ,20698 ,23329 ,22802 ,12156 ,8848 ,1610 ,40 
강원특별자치도 강원특별자치도 원주시 (5113000000),361503 ,361503 ,25618 ,34679 ,42306 ,45545 ,55623 ,62537 ,54711 ,23940 ,14305 ,2184 ,55 ,179115 ,179115 ,13104 ,17793 ,22492 ,23354 ,27502 ,31111 ,27149 ,10983 ,5122 ,494 ,11 ,182388 ,182388 ,12514 ,16886 ,19814 ,22191 ,28121 ,31426 ,27562 ,12957 ,9183 ,1690 ,44 
강원특별자치도 강원특별자치도 강릉시 (5115000000),209439 ,209439 ,11413 ,17380 ,22654 ,20358 ,29591 ,36506 ,37188 ,20886 ,11534 ,1869 ,60 ,103759 ,103759 ,5887 ,9145 ,12429 ,10889 ,14894 ,18645 ,17853 ,9391 ,4217 ,400 ,9 ,105680 ,105680 ,5526 ,8235 ,10225 ,9469 ,14697 ,17861 ,19335 ,11495 ,7317 ,1469 ,51 
강원특별자치도 강원특별자치도 동해시 (5117000000),88625 ,88625 ,5426 ,8266 ,8485 ,8244 ,13245 ,15922 ,15323 ,8542 ,4533 ,626 ,13 ,45045 ,45045 ,2776 ,4323 ,4982 ,4564 ,6835 ,8375 ,7437 ,3926 ,1705 ,120 ,2 ,43580 ,43580 ,2650 ,3943 ,3503 ,3680 ,6410 ,7547 ,7886 ,4616 ,2828 ,506 ,11 
강원특별자치도 강원특별자치도 태백시 (5119000000),38702 ,38702 ,1823 ,3385 ,3053 ,2844 ,5531 ,6860 ,7641 ,4877 ,2441 ,239 ,8 ,19476 ,19476 ,958 ,1757 ,1767 ,1534 ,2904 ,3690 ,3833 ,2116 ,875 ,40 ,2 ,19226 ,19226 ,865 ,1628 ,1286 ,1310 ,2627 ,3170 ,3808 ,2761 ,1566 ,199 ,6 
강원특별자치도 강원특별자치도 속초시 (5121000000),82054 ,82054 ,5063 ,6826 ,8130 ,8946 ,11671 ,14927 ,14827 ,7248 ,3797 ,609 ,10 ,40620 ,40620 ,2602 ,3468 ,4605 ,4939 ,5829 ,7339 ,7143 ,3196 ,1370 ,125 ,4 ,41434 ,41434 ,2461 ,3358 ,3525 ,4007 ,5842 ,7588 ,7684 ,4052 ,2427 ,484 ,6 
강원특별자치도 강원특별자치도 삼척시 (5123000000),62651 ,62651 ,3196 ,4806 ,6589 ,4898 ,7831 ,10760 ,12185 ,7202 ,4440 ,722 ,22 ,31822 ,31822 ,1626 ,2481 ,3745 ,2648 ,4206 ,5944 ,6190 ,3365 ,1461 ,155 ,1 ,30829 ,30829 ,1570 ,2325 ,2844 ,2250 ,3625 ,4816 ,5995 ,3837 ,2979 ,567 ,21 
강원특별자치도 강원특별자치도 홍천군 (5172000000),67309 ,67309 ,3193 ,4544 ,5752 ,5544 ,7349 ,11419 ,15943 ,7877 ,4897 ,768 ,23 ,34655 ,34655 ,1624 ,2304 ,3433 ,3084 ,3930 ,6065 ,8314 ,3945 ,1795 ,156 ,5 ,32654 ,32654 ,1569 ,2240 ,2319 ,2460 ,3419 ,5354 ,7629 ,3932 ,3102 ,612 ,18 
강원특별자치도 강원특별자치도 횡성군 (5173000000),46359 ,46359 ,1873 ,3349 ,3165 ,3007 ,4659 ,8140 ,11782 ,6090 ,3710 ,564 ,20 ,23826 ,23826 ,994 ,1767 ,1801 ,1645 ,2540 ,4325 ,6142 ,3093 ,1411 ,106 ,2 ,22533 ,22533 ,879 ,1582 ,1364 ,1362 ,2119 ,3815 ,5640 ,2997 ,2299 ,458 ,18 
