행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상,,,,
경상남도  (4800000000),3251158 ,3251158 ,211999 ,315947 ,322711 ,350135 ,505303 ,582857 ,529417 ,269057 ,141937 ,21352 ,443 ,1636987 ,1636987 ,109126 ,163921 ,181299 ,185290 ,259730 ,297614 ,265076 ,124074 ,46745 ,4055 ,57 ,1614171 ,1614171 ,102873 ,152026 ,141412 ,164845 ,245573 ,285243 ,264341 ,144983 ,95192 ,17297 ,386 ,,,,
경상남도 경상남도 창원시 (4812000000),1009038 ,1009038 ,67055 ,96798 ,110725 ,121305 ,159944 ,181804 ,161935 ,73980 ,31153 ,4263 ,76 ,510633 ,510633 ,34431 ,50250 ,62525 ,64951 ,82096 ,89972 ,79965 ,34631 ,10994 ,806 ,12 ,498405 ,498405 ,32624 ,46548 ,48200 ,56354 ,77848 ,91832 ,81970 ,39349 ,20159 ,3457 ,64 ,,,,
경상남도 경상남도 창원시 의창구 (4812100000),213342 ,213342 ,14605 ,19255 ,24403 ,26290 ,32575 ,40208 ,35117 ,14209 ,5854 ,814 ,12 ,108453 ,108453 ,7411 ,9991 ,13771 ,14069 ,16822 ,19555 ,17813 ,6926 ,1951 ,144 ,0 ,104889 ,104889 ,7194 ,9264 ,10632 ,12221 ,15753 ,20653 ,17304 ,7283 ,3903 ,670 ,12 ,,,,
경상남도 경상남도 창원시 성산구 (4812300000),245259 ,245259 ,16214 ,24345 ,31963 ,34285 ,37647 ,49261 ,36233 ,10679 ,3950 ,669 ,13 ,125110 ,125110 ,8278 ,12718 ,18171 ,18547 ,18501 ,23340 ,18800 ,5312 ,1325 ,116 ,2 ,120149 ,120149 ,7936 ,11627 ,13792 ,15738 ,19146 ,25921 ,17433 ,5367 ,2625 ,553 ,11 ,,,,
경상남도 경상남도 창원시 마산합포구 (4812500000),179394 ,179394 ,11586 ,14767 ,17130 ,19625 ,26919 ,28919 ,32253 ,18618 ,8385 ,1167 ,25 ,89116 ,89116 ,6009 ,7602 ,9535 ,10317 ,14222 ,14561 ,15260 ,8418 ,2974 ,210 ,8 ,90278 ,90278 ,5577 ,7165 ,7595 ,9308 ,12697 ,14358 ,16993 ,10200 ,5411 ,957 ,17 ,,,,
경상남도 경상남도 창원시 마산회원구 (4812700000),179818 ,179818 ,9870 ,16907 ,18182 ,18346 ,27505 ,32545 ,32025 ,17019 ,6653 ,752 ,14 ,89659 ,89659 ,5056 ,8798 ,10028 ,9807 ,14089 ,16256 ,15230 ,7764 ,2480 ,150 ,1 ,90159 ,90159 ,4814 ,8109 ,8154 ,8539 ,13416 ,16289 ,16795 ,9255 ,4173 ,602 ,13 ,,,,
경상남도 경상남도 창원시 진해구 (4812900000),191225 ,191225 ,14780 ,21524 ,19047 ,22759 ,35298 ,30871 ,26307 ,13455 ,6311 ,861 ,12 ,98295 ,98295 ,7677 ,11141 ,11020 ,12211 ,18462 ,16260 ,12862 ,6211 ,2264 ,186 ,1 ,92930 ,92930 ,7103 ,10383 ,8027 ,10548 ,16836 ,14611 ,13445 ,7244 ,4047 ,675 ,11 ,,,,
경상남도 경상남도 진주시 (4817000000),341074 ,341074 ,23456 ,33860 ,40929 ,38981 ,50492 ,57815 ,51546 ,27510 ,14343 ,2091 ,51 ,168392 ,168392 ,12076 ,17709 ,22428 ,20528 ,24905 ,28602 ,24739 ,12252 ,4748 ,400 ,5 ,172682 ,172682 ,11380 ,16151 ,18501 ,18453 ,25587 ,29213 ,26807 ,15258 ,9595 ,1691 ,46 ,,,,
경상남도 경상남도 통영시 (4822000000),120551 ,120551 ,6657 ,12388 ,9231 ,10226 ,19387 ,21778 ,22314 ,12196 ,5637 ,724 ,13 ,60517 ,60517 ,3347 ,6382 ,5252 ,5249 ,10205 ,11466 ,10924 ,5687 ,1879 ,126 ,0 ,60034 ,60034 ,3310 ,6006 ,3979 ,4977 ,9182 ,10312 ,11390 ,6509 ,3758 ,598 ,13 ,,,,
경상남도 경상남도 사천시 (4824000000),109030 ,109030 ,6459 ,10113 ,9646 ,10399 ,16593 ,18971 ,18267 ,11125 ,6417 ,1024 ,16 ,55139 ,55139 ,3317 ,5229 ,5862 ,5767 ,8682 ,10110 ,8999 ,4921 ,2071 ,179 ,2 ,53891 ,53891 ,3142 ,4884 ,3784 ,4632 ,7911 ,8861 ,9268 ,6204 ,4346 ,845 ,14 ,,,,
경상남도 경상남도 김해시 (4825000000),533659 ,533659 ,39679 ,59421 ,60080 ,63334 ,91804 ,102716 ,71142 ,29877 ,13817 ,1754 ,35 ,269755 ,269755 ,20507 ,30468 ,33048 ,33134 ,45884 ,51694 ,36598 ,13573 ,4515 ,330 ,4 ,263904 ,263904 ,19172 ,28953 ,27032 ,30200 ,45920 ,51022 ,34544 ,16304 ,9302 ,1424 ,31 ,,,,
경상남도 경상남도 밀양시 (4827000000),102084 ,102084 ,4468 ,7302 ,7587 ,7855 ,12018 ,17551 ,22777 ,13608 ,7796 ,1107 ,15 ,50356 ,50356 ,2290 ,3819 ,4383 ,4229 ,6379 ,8978 ,11298 ,6245 ,2515 ,218 ,2 ,51728 ,51728 ,2178 ,3483 ,3204 ,3626 ,5639 ,8573 ,11479 ,7363 ,5281 ,889 ,13 ,,,,
