행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상
전국  (0000000000),51325329 ,51325329 ,3332892 ,4651460 ,6197486 ,6575548 ,7922134 ,8695699 ,7630708 ,3966203 ,2045024 ,299638 ,8537 ,25565736 ,25565736 ,1708010 ,2393339 ,3236838 ,3420991 ,4028250 ,4385550 ,3755827 ,1818730 ,748225 ,68553 ,1423 ,25759593 ,25759593 ,1624882 ,2258121 ,2960648 ,3154557 ,3893884 ,4310149 ,3874881 ,2147473 ,1296799 ,231085 ,7114 
서울특별시  (1100000000),9386034 ,9386034 ,513562 ,733211 ,1355811 ,1427405 ,1420073 ,1495557 ,1315938 ,738469 ,339214 ,45346 ,1448 ,4540031 ,4540031 ,263448 ,375346 ,643229 ,713915 ,703001 ,734760 ,622855 ,334075 ,137024 ,12059 ,319 ,4846003 ,4846003 ,250114 ,357865 ,712582 ,713490 ,717072 ,760797 ,693083 ,404394 ,202190 ,33287 ,1129 
부산광역시  (2600000000),3293362 ,3293362 ,194403 ,263339 ,377587 ,390659 ,484716 ,541925 ,560720 ,320407 ,141906 ,17268 ,432 ,1605431 ,1605431 ,99689 ,135082 ,193992 ,201309 ,244820 ,264670 ,264259 ,144256 ,53412 ,3880 ,62 ,1687931 ,1687931 ,94714 ,128257 ,183595 ,189350 ,239896 ,277255 ,296461 ,176151 ,88494 ,13388 ,370 
대구광역시  (2700000000),2374960 ,2374960 ,150403 ,214121 ,282470 ,279965 ,356114 ,420799 ,365980 ,195523 ,96888 ,12432 ,265 ,1166803 ,1166803 ,77161 ,110515 ,148961 ,149088 ,176398 ,205400 ,175097 ,86180 ,35074 ,2897 ,32 ,1208157 ,1208157 ,73242 ,103606 ,133509 ,130877 ,179716 ,215399 ,190883 ,109343 ,61814 ,9535 ,233 
인천광역시  (2800000000),2997410 ,2997410 ,202329 ,272079 ,364103 ,413085 ,480780 ,516033 ,441411 ,197825 ,94397 ,14877 ,491 ,1499016 ,1499016 ,103733 ,139614 ,188915 ,215282 ,247250 ,256886 ,218084 ,91836 ,34124 ,3192 ,100 ,1498394 ,1498394 ,98596 ,132465 ,175188 ,197803 ,233530 ,259147 ,223327 ,105989 ,60273 ,11685 ,391 
광주광역시  (2900000000),1419237 ,1419237 ,99779 ,147525 ,190905 ,174075 ,227259 ,240674 ,184732 ,99128 ,48185 ,6768 ,207 ,700896 ,700896 ,51028 ,76188 ,99724 ,89847 ,113235 ,119067 ,88343 ,43912 ,18019 ,1516 ,17 ,718341 ,718341 ,48751 ,71337 ,91181 ,84228 ,114024 ,121607 ,96389 ,55216 ,30166 ,5252 ,190 
대전광역시  (3000000000),1442216 ,1442216 ,96727 ,137836 ,199228 ,187965 ,220131 ,243258 ,202026 ,99140 ,48573 ,7121 ,211 ,719292 ,719292 ,49790 ,71227 ,104190 ,99375 ,109916 ,121334 ,97866 ,45677 ,18132 ,1753 ,32 ,722924 ,722924 ,46937 ,66609 ,95038 ,88590 ,110215 ,121924 ,104160 ,53463 ,30441 ,5368 ,179 
울산광역시  (3100000000),1103661 ,1103661 ,79086 ,109462 ,122522 ,136909 ,178114 ,204814 ,169307 ,71586 ,28057 ,3725 ,79 ,567153 ,567153 ,40621 ,57056 ,69651 ,74334 ,91773 ,102900 ,85401 ,34534 ,10146 ,728 ,9 ,536508 ,536508 ,38465 ,52406 ,52871 ,62575 ,86341 ,101914 ,83906 ,37052 ,17911 ,2997 ,70 
세종특별자치시  (3600000000),386525 ,386525 ,43541 ,50736 ,37810 ,59340 ,77183 ,54433 ,37233 ,16478 ,8234 ,1494 ,43 ,192524 ,192524 ,22122 ,25585 ,19199 ,29268 ,38244 ,28501 ,18533 ,7793 ,2972 ,302 ,5 ,194001 ,194001 ,21419 ,25151 ,18611 ,30072 ,38939 ,25932 ,18700 ,8685 ,5262 ,1192 ,38 
경기도  (4100000000),13630821 ,13630821 ,989550 ,1320631 ,1682138 ,1878734 ,2256931 ,2335999 ,1831793 ,847103 ,423029 ,63061 ,1852 ,6855895 ,6855895 ,506358 ,675747 ,885110 ,979572 ,1150795 ,1177701 ,914132 ,391368 ,159419 ,15304 ,389 ,6774926 ,6774926 ,483192 ,644884 ,797028 ,899162 ,1106136 ,1158298 ,917661 ,455735 ,263610 ,47757 ,1463 
