행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상,,,,
전라남도  (4600000000),1804217 ,1804217 ,107726 ,158933 ,178152 ,169502 ,240813 ,310282 ,305457 ,189922 ,123690 ,19148 ,592 ,909548 ,909548 ,55007 ,81807 ,99758 ,89471 ,127824 ,167170 ,156840 ,87378 ,40423 ,3801 ,69 ,894669 ,894669 ,52719 ,77126 ,78394 ,80031 ,112989 ,143112 ,148617 ,102544 ,83267 ,15347 ,523 ,,,,
전라남도 전라남도 목포시 (4611000000),214156 ,214156 ,13517 ,23295 ,24374 ,21564 ,34520 ,36966 ,31554 ,18536 ,8672 ,1121 ,37 ,106416 ,106416 ,6953 ,11907 ,13291 ,11027 ,17771 ,18953 ,14916 ,8264 ,3084 ,245 ,5 ,107740 ,107740 ,6564 ,11388 ,11083 ,10537 ,16749 ,18013 ,16638 ,10272 ,5588 ,876 ,32 ,,,,
전라남도 전라남도 여수시 (4613000000),271696 ,271696 ,17081 ,24643 ,29965 ,28128 ,38658 ,47483 ,44924 ,26101 ,12770 ,1881 ,62 ,138354 ,138354 ,8705 ,12622 ,16977 ,15312 ,20240 ,25044 ,22348 ,12232 ,4501 ,366 ,7 ,133342 ,133342 ,8376 ,12021 ,12988 ,12816 ,18418 ,22439 ,22576 ,13869 ,8269 ,1515 ,55 ,,,,
전라남도 전라남도 순천시 (4615000000),278137 ,278137 ,20198 ,28668 ,33557 ,32076 ,40476 ,49124 ,40507 ,19932 ,11671 ,1879 ,49 ,138814 ,138814 ,10352 ,14799 ,18361 ,16656 ,20007 ,24551 ,20413 ,9352 ,3937 ,382 ,4 ,139323 ,139323 ,9846 ,13869 ,15196 ,15420 ,20469 ,24573 ,20094 ,10580 ,7734 ,1497 ,45 ,,,,
전라남도 전라남도 나주시 (4617000000),117377 ,117377 ,8994 ,10111 ,11390 ,14165 ,17039 ,17538 ,18239 ,11190 ,7475 ,1198 ,38 ,59261 ,59261 ,4619 ,5208 ,5998 ,7302 ,9199 ,9644 ,9503 ,5141 ,2392 ,248 ,7 ,58116 ,58116 ,4375 ,4903 ,5392 ,6863 ,7840 ,7894 ,8736 ,6049 ,5083 ,950 ,31 ,,,,
전라남도 전라남도 광양시 (4623000000),152666 ,152666 ,11427 ,15663 ,17976 ,18305 ,22862 ,30143 ,21190 ,9025 ,5146 ,898 ,31 ,79892 ,79892 ,5802 ,8027 ,10444 ,9965 ,12059 ,16084 ,11285 ,4373 ,1703 ,149 ,1 ,72774 ,72774 ,5625 ,7636 ,7532 ,8340 ,10803 ,14059 ,9905 ,4652 ,3443 ,749 ,30 ,,,,
전라남도 전라남도 담양군 (4671000000),45373 ,45373 ,1973 ,2912 ,3831 ,3355 ,4763 ,7977 ,9429 ,6032 ,4403 ,664 ,34 ,22961 ,22961 ,977 ,1501 ,2221 ,1729 ,2641 ,4408 ,5040 ,2848 ,1446 ,147 ,3 ,22412 ,22412 ,996 ,1411 ,1610 ,1626 ,2122 ,3569 ,4389 ,3184 ,2957 ,517 ,31 ,,,,
전라남도 전라남도 곡성군 (4672000000),26905 ,26905 ,786 ,1644 ,2029 ,1539 ,2588 ,4630 ,5709 ,3942 ,3399 ,624 ,15 ,13375 ,13375 ,392 ,907 ,1134 ,819 ,1418 ,2585 ,3093 ,1822 ,1071 ,133 ,1 ,13530 ,13530 ,394 ,737 ,895 ,720 ,1170 ,2045 ,2616 ,2120 ,2328 ,491 ,14 ,,,,
전라남도 전라남도 구례군 (4673000000),24314 ,24314 ,832 ,1608 ,1600 ,1339 ,2388 ,4411 ,5214 ,3592 ,2875 ,447 ,8 ,11890 ,11890 ,404 ,834 ,915 ,663 ,1279 ,2438 ,2722 ,1640 ,904 ,90 ,1 ,12424 ,12424 ,428 ,774 ,685 ,676 ,1109 ,1973 ,2492 ,1952 ,1971 ,357 ,7 ,,,,
전라남도 전라남도 고흥군 (4677000000),61113 ,61113 ,2052 ,3391 ,3491 ,3162 ,5444 ,9517 ,13458 ,10909 ,8123 ,1513 ,53 ,29893 ,29893 ,1015 ,1800 ,2027 ,1706 ,3077 ,5473 ,6935 ,4913 ,2634 ,307 ,6 ,31220 ,31220 ,1037 ,1591 ,1464 ,1456 ,2367 ,4044 ,6523 ,5996 ,5489 ,1206 ,47 ,,,,
