행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상,,
전라북도  (4500000000),1754757 ,1754757 ,102482 ,164304 ,190813 ,172999 ,245114 ,300818 ,284897 ,171805 ,104131 ,16920 ,474 ,873419 ,873419 ,52352 ,84960 ,103468 ,90056 ,125613 ,156268 ,142143 ,78851 ,35933 ,3714 ,61 ,881338 ,881338 ,50130 ,79344 ,87345 ,82943 ,119501 ,144550 ,142754 ,92954 ,68198 ,13206 ,413 ,,
전라북도 전라북도 전주시 (4511000000),642727 ,642727 ,43992 ,67931 ,85269 ,76788 ,99645 ,108843 ,86065 ,46991 ,23617 ,3502 ,84 ,315709 ,315709 ,22493 ,34988 ,44688 ,39451 ,48907 ,53538 ,40855 ,21087 ,8843 ,848 ,11 ,327018 ,327018 ,21499 ,32943 ,40581 ,37337 ,50738 ,55305 ,45210 ,25904 ,14774 ,2654 ,73 ,,
전라북도 전라북도 전주시 완산구 (4511100000),327178 ,327178 ,19679 ,32693 ,44382 ,37398 ,47979 ,57655 ,47086 ,25646 ,12648 ,1962 ,50 ,158979 ,158979 ,10136 ,16955 ,22988 ,19238 ,23167 ,27756 ,22085 ,11538 ,4644 ,467 ,5 ,168199 ,168199 ,9543 ,15738 ,21394 ,18160 ,24812 ,29899 ,25001 ,14108 ,8004 ,1495 ,45 ,,
전라북도 전라북도 전주시 덕진구 (4511300000),315549 ,315549 ,24313 ,35238 ,40887 ,39390 ,51666 ,51188 ,38979 ,21345 ,10969 ,1540 ,34 ,156730 ,156730 ,12357 ,18033 ,21700 ,20213 ,25740 ,25782 ,18770 ,9549 ,4199 ,381 ,6 ,158819 ,158819 ,11956 ,17205 ,19187 ,19177 ,25926 ,25406 ,20209 ,11796 ,6770 ,1159 ,28 ,,
전라북도 전라북도 군산시 (4513000000),259980 ,259980 ,16455 ,25605 ,26581 ,26275 ,40779 ,45066 ,41269 ,24089 ,11854 ,1956 ,51 ,131719 ,131719 ,8342 ,13199 ,14795 ,13884 ,21242 ,23886 ,20524 ,11185 ,4232 ,420 ,10 ,128261 ,128261 ,8113 ,12406 ,11786 ,12391 ,19537 ,21180 ,20745 ,12904 ,7622 ,1536 ,41 ,,
전라북도 전라북도 익산시 (4514000000),270036 ,270036 ,14667 ,25586 ,31983 ,25909 ,37184 ,48019 ,44935 ,25289 ,14065 ,2350 ,49 ,134381 ,134381 ,7432 ,13143 ,17418 ,13633 ,19026 ,24362 ,22335 ,11684 ,4843 ,501 ,4 ,135655 ,135655 ,7235 ,12443 ,14565 ,12276 ,18158 ,23657 ,22600 ,13605 ,9222 ,1849 ,45 ,,
전라북도 전라북도 정읍시 (4518000000),103620 ,103620 ,4975 ,8616 ,9275 ,7822 ,12900 ,18132 ,18761 ,12570 ,8965 ,1557 ,47 ,51624 ,51624 ,2553 ,4532 ,5202 ,4150 ,6762 ,9776 ,9625 ,5672 ,3026 ,319 ,7 ,51996 ,51996 ,2422 ,4084 ,4073 ,3672 ,6138 ,8356 ,9136 ,6898 ,5939 ,1238 ,40 ,,
전라북도 전라북도 남원시 (4519000000),76781 ,76781 ,3837 ,6591 ,6347 ,5597 ,9090 ,13565 ,14160 ,9580 ,6869 ,1106 ,39 ,37674 ,37674 ,2009 ,3428 ,3553 ,2886 ,4570 ,7219 ,7170 ,4368 ,2232 ,230 ,9 ,39107 ,39107 ,1828 ,3163 ,2794 ,2711 ,4520 ,6346 ,6990 ,5212 ,4637 ,876 ,30 ,,
전라북도 전라북도 김제시 (4521000000),81430 ,81430 ,3610 ,5810 ,6941 ,6276 ,9157 ,13334 ,16006 ,10906 ,7832 ,1512 ,46 ,40631 ,40631 ,1851 ,3008 ,3921 ,3292 ,5063 ,7446 ,8201 ,4956 ,2564 ,321 ,8 ,40799 ,40799 ,1759 ,2802 ,3020 ,2984 ,4094 ,5888 ,7805 ,5950 ,5268 ,1191 ,38 ,,
전라북도 전라북도 완주군 (4571000000),97827 ,97827 ,6197 ,8651 ,9158 ,10461 ,13648 ,16470 ,16739 ,9519 ,5962 ,994 ,28 ,50192 ,50192 ,3109 ,4484 ,5107 ,5464 ,7321 ,9022 ,8786 ,4659 ,2030 ,207 ,3 ,47635 ,47635 ,3088 ,4167 ,4051 ,4997 ,6327 ,7448 ,7953 ,4860 ,3932 ,787 ,25 ,,
전라북도 전라북도 진안군 (4572000000),24465 ,24465 ,926 ,1559 ,1622 ,1396 ,2223 ,4269 ,5588 ,3711 ,2701 ,455 ,15 ,12497 ,12497 ,471 ,819 ,936 ,681 ,1272 ,2426 ,3047 ,1821 ,933 ,90 ,1 ,11968 ,11968 ,455 ,740 ,686 ,715 ,951 ,1843 ,2541 ,1890 ,1768 ,365 ,14 ,,
전라북도 전라북도 무주군 (4573000000),23251 ,23251 ,852 ,1708 ,1528 ,1454 ,2485 ,4024 ,5030 ,3172 ,2581 ,400 ,17 ,11629 ,11629 ,453 ,862 ,855 ,783 ,1361 ,2260 ,2668 ,1421 ,873 ,91 ,2 ,11622 ,11622 ,399 ,846 ,673 ,671 ,1124 ,1764 ,2362 ,1751 ,1708 ,309 ,15 ,,
전라북도 전라북도 장수군 (4574000000),20983 ,20983 ,818 ,1554 ,1362 ,1203 ,2148 ,3573 ,4456 ,3144 ,2355 ,359 ,11 ,10535 ,10535 ,421 ,806 ,792 ,621 ,1212 ,1997 ,2333 ,1509 ,744 ,99 ,1 ,10448 ,10448 ,397 ,748 ,570 ,582 ,936 ,1576 ,2123 ,1635 ,1611 ,260 ,10 ,,
전라북도 전라북도 임실군 (4575000000),25956 ,25956 ,1100 ,1453 ,1712 ,1667 ,2317 ,4296 ,5603 ,4007 ,3248 ,538 ,15 ,13354 ,13354 ,578 ,761 ,1014 ,890 ,1388 ,2482 ,3120 ,1914 ,1070 ,135 ,2 ,12602 ,12602 ,522 ,692 ,698 ,777 ,929 ,1814 ,2483 ,2093 ,2178 ,403 ,13 ,,
전라북도 전라북도 순창군 (4577000000),26764 ,26764 ,1094 ,2076 ,1998 ,1611 ,2911 ,4427 ,5359 ,3746 ,3086 ,438 ,18 ,13161 ,13161 ,552 ,1076 ,1119 ,811 ,1579 ,2464 ,2839 ,1667 ,943 ,110 ,1 ,13603 ,13603 ,542 ,1000 ,879 ,800 ,1332 ,1963 ,2520 ,2079 ,2143 ,328 ,17 ,,
