행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상,,,,
충청북도  (4300000000),1593469 ,1593469 ,103333 ,144446 ,181676 ,187761 ,230702 ,272450 ,257982 ,128433 ,75249 ,11181 ,256 ,810448 ,810448 ,52921 ,74720 ,100616 ,102774 ,119606 ,140085 ,130480 ,60151 ,26651 ,2404 ,40 ,783021 ,783021 ,50412 ,69726 ,81060 ,84987 ,111096 ,132365 ,127502 ,68282 ,48598 ,8777 ,216 ,,,,
충청북도 충청북도 청주시 (4311000000),852189 ,852189 ,63606 ,84520 ,111820 ,118033 ,134187 ,141304 ,114522 ,52168 ,27833 ,4109 ,87 ,430449 ,430449 ,32461 ,43499 ,60727 ,63850 ,68296 ,70460 ,56505 ,24007 ,9778 ,856 ,10 ,421740 ,421740 ,31145 ,41021 ,51093 ,54183 ,65891 ,70844 ,58017 ,28161 ,18055 ,3253 ,77 ,,,,
충청북도 충청북도 청주시 상당구 (4311100000),200575 ,200575 ,15165 ,20108 ,23247 ,24945 ,30811 ,34747 ,29014 ,13775 ,7658 ,1081 ,24 ,99657 ,99657 ,7611 ,10389 ,12480 ,12943 ,15378 ,17173 ,14414 ,6347 ,2704 ,214 ,4 ,100918 ,100918 ,7554 ,9719 ,10767 ,12002 ,15433 ,17574 ,14600 ,7428 ,4954 ,867 ,20 ,,,,
충청북도 충청북도 청주시 서원구 (4311200000),186302 ,186302 ,10576 ,17937 ,26197 ,21189 ,26928 ,33560 ,28435 ,13459 ,6975 ,1027 ,19 ,92775 ,92775 ,5471 ,9249 ,14131 ,11408 ,13385 ,16470 ,13837 ,6080 ,2516 ,227 ,1 ,93527 ,93527 ,5105 ,8688 ,12066 ,9781 ,13543 ,17090 ,14598 ,7379 ,4459 ,800 ,18 ,,,,
충청북도 충청북도 청주시 흥덕구 (4311300000),274594 ,274594 ,22190 ,26684 ,38259 ,43860 ,44109 ,44389 ,33390 ,13791 ,6827 ,1071 ,24 ,139804 ,139804 ,11336 ,13703 ,20664 ,23889 ,22458 ,22159 ,16522 ,6467 ,2382 ,219 ,5 ,134790 ,134790 ,10854 ,12981 ,17595 ,19971 ,21651 ,22230 ,16868 ,7324 ,4445 ,852 ,19 ,,,,
충청북도 충청북도 청주시 청원구 (4311400000),190718 ,190718 ,15675 ,19791 ,24117 ,28039 ,32339 ,28608 ,23683 ,11143 ,6373 ,930 ,20 ,98213 ,98213 ,8043 ,10158 ,13452 ,15610 ,17075 ,14658 ,11732 ,5113 ,2176 ,196 ,0 ,92505 ,92505 ,7632 ,9633 ,10665 ,12429 ,15264 ,13950 ,11951 ,6030 ,4197 ,734 ,20 ,,,,
충청북도 충청북도 충주시 (4313000000),207778 ,207778 ,12215 ,17874 ,21773 ,22423 ,29047 ,36566 ,36466 ,18432 ,11272 ,1667 ,43 ,105420 ,105420 ,6195 ,9278 ,12415 ,12567 ,14968 ,18712 ,18428 ,8411 ,4058 ,379 ,9 ,102358 ,102358 ,6020 ,8596 ,9358 ,9856 ,14079 ,17854 ,18038 ,10021 ,7214 ,1288 ,34 ,,,,
충청북도 충청북도 제천시 (4315000000),130194 ,130194 ,7044 ,11184 ,14011 ,11587 ,16373 ,23038 ,25119 ,13326 ,7515 ,969 ,28 ,65456 ,65456 ,3643 ,5734 ,7772 ,6289 ,8398 ,11855 ,12516 ,6278 ,2762 ,204 ,5 ,64738 ,64738 ,3401 ,5450 ,6239 ,5298 ,7975 ,11183 ,12603 ,7048 ,4753 ,765 ,23 ,,,,
충청북도 충청북도 보은군 (4372000000),31010 ,31010 ,1109 ,1875 ,1951 ,1838 ,2862 ,5276 ,7650 ,4499 ,3327 ,615 ,8 ,15671 ,15671 ,575 ,1004 ,1150 ,1014 ,1586 ,2903 ,4009 ,2168 ,1129 ,131 ,2 ,15339 ,15339 ,534 ,871 ,801 ,824 ,1276 ,2373 ,3641 ,2331 ,2198 ,484 ,6 ,,,,
충청북도 충청북도 옥천군 (4373000000),48891 ,48891 ,1945 ,3594 ,3761 ,3219 ,5569 ,8547 ,10846 ,6534 ,4151 ,704 ,21 ,24718 ,24718 ,1022 ,1890 ,2170 ,1696 ,2936 ,4557 ,5657 ,3179 ,1432 ,176 ,3 ,24173 ,24173 ,923 ,1704 ,1591 ,1523 ,2633 ,3990 ,5189 ,3355 ,2719 ,528 ,18 ,,,,
