"행정구역별",2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2
"행정구역별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),실업자(RSE),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),15~64세 고용률 (%),실업률 (％),실업률(RSE)
"서울 종로구",137,76,74,2,-,61,55.5,53.9,60.0,2.8,-
"서울 중구",119,72,70,3,*,47,60.8,58.5,66.2,3.8,-
"서울 용산구",199,127,123,4,-,71,64.1,61.9,70.7,3.4,-
"서울 성동구",254,154,150,5,-,100,60.6,58.8,66.9,3.0,-
"서울 광진구",318,199,192,7,-,119,62.4,60.4,68.0,3.3,-
"서울 동대문구",320,178,170,8,-,142,55.7,53.2,60.2,4.4,-
"서울 중랑구",345,215,207,7,-,131,62.1,60.0,69.9,3.4,-
"서울 성북구",393,220,213,8,-,173,56.0,54.1,62.0,3.4,-
"서울 강북구",264,153,148,5,-,111,58.0,56.0,67.1,3.5,-
"서울 도봉구",275,157,151,6,-,118,57.0,54.8,64.6,3.9,-
"서울 노원구",441,256,247,9,-,185,58.1,56.0,64.4,3.5,-
"서울 은평구",407,243,233,10,-,164,59.7,57.2,66.5,4.3,-
"서울 서대문구",292,166,159,7,-,126,56.9,54.7,61.0,4.0,-
"서울 마포구",330,209,202,7,-,121,63.2,61.2,68.6,3.2,-
"서울 양천구",370,227,218,9,-,143,61.2,58.9,67.7,3.8,-
"서울 강서구",501,315,304,11,-,186,62.9,60.6,69.3,3.6,-
"서울 구로구",374,239,230,9,-,135,63.8,61.6,70.4,3.6,-
"서울 금천구",223,144,139,5,-,78,64.8,62.6,71.2,3.5,-
"서울 영등포구",357,239,232,7,-,118,67.0,65.2,73.1,2.7,-
"서울 동작구",351,218,208,10,-,133,62.0,59.1,67.8,4.6,-
"서울 관악구",468,287,274,13,-,180,61.5,58.7,67.2,4.6,-
"서울 서초구",333,204,199,5,-,129,61.2,59.6,67.6,2.6,-
"서울 강남구",441,259,252,7,-,182,58.8,57.1,64.6,2.8,*
"서울 송파구",562,352,342,11,-,210,62.7,60.8,68.9,3.0,-
"서울 강동구",395,254,248,6,-,141,64.4,63.0,71.9,2.2,-
"부산 중구",39,23,21,1,-,16,58.3,55.6,64.2,4.7,-
"부산 서구",94,51,49,2,-,43,54.0,51.4,62.1,4.8,-
"부산 동구",78,45,43,2,-,33,57.6,55.1,65.4,4.4,-
"부산 영도구",101,50,48,2,*,51,49.7,47.3,56.3,4.8,*
"부산 부산진구",322,186,179,7,-,136,57.9,55.7,64.7,3.8,-
"부산 동래구",232,136,130,6,-,96,58.5,56.1,65.6,4.1,-
"부산 남구",233,127,123,4,-,106,54.4,52.5,61.3,3.5,-
"부산 북구",243,140,133,7,-,103,57.7,54.8,63.0,5.0,-
"부산 해운대구",329,182,175,7,-,147,55.4,53.2,61.6,3.9,-
"부산 사하구",272,156,148,7,-,116,57.3,54.6,63.6,4.7,-
"부산 금정구",206,110,104,6,-,96,53.5,50.6,60.0,5.3,-
"부산 강서구",115,80,77,3,-,35,69.6,67.1,71.3,3.5,-
"부산 연제구",177,106,101,4,-,71,59.7,57.4,68.3,3.9,-
"부산 수영구",155,88,84,4,-,67,57.1,54.4,65.7,4.7,-
