행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,oldAgePercent,childAgePercent,adultAgePercent
경기도  ,13630821.0,13630821.0,989550.0,1320631.0,1682138.0,1878734.0,2256931.0,2335999.0,1831793.0,847103.0,423029.0,63061.0,1852.0,23.232921920110314,16.948216105251472,59.81886197463822
수원시 ,1197257.0,1197257.0,82636.0,113383.0,175839.0,184342.0,195012.0,202330.0,146108.0,62753.0,30244.0,4483.0,127.0,20.35611401729119,16.37234110971997,63.27154487298884
수원시 장안구 ,270849.0,270849.0,15171.0,26211.0,40724.0,33585.0,41002.0,49885.0,36970.0,16909.0,8973.0,1378.0,41.0,23.729458111346176,15.278623882680018,60.99191800597381
수원시 권선구 ,366167.0,366167.0,25476.0,32358.0,49920.0,57315.0,59602.0,62539.0,48626.0,20039.0,8919.0,1345.0,28.0,21.56311191341656,15.7944325949635,62.64245549161994
수원시 팔달구 ,197213.0,197213.0,11737.0,14079.0,30338.0,32305.0,28749.0,32690.0,26876.0,13234.0,6346.0,831.0,28.0,23.991826096656915,13.090414932078517,62.91775897126457
수원시 영통구 ,363028.0,363028.0,30252.0,40735.0,54857.0,61137.0,65659.0,57216.0,33636.0,12571.0,6006.0,929.0,30.0,14.646804103264763,19.554139074671927,65.7990568220633
성남시 ,919747.0,919747.0,60026.0,83353.0,116584.0,134145.0,147372.0,154797.0,126893.0,62339.0,29497.0,4602.0,139.0,24.296899038539944,15.588960877284732,60.114140084175325
성남시 수정구 ,235942.0,235942.0,14310.0,16448.0,30868.0,36087.0,35299.0,39498.0,36360.0,18348.0,7704.0,987.0,33.0,26.88457332734316,13.03625467275856,60.079171999898286
성남시 중원구 ,210848.0,210848.0,12044.0,14868.0,27048.0,32100.0,31091.0,35761.0,33744.0,16299.0,7015.0,849.0,29.0,27.477614205494007,12.7636970708757,59.75868872363029
성남시 분당구 ,472957.0,472957.0,33672.0,52037.0,58668.0,65958.0,80982.0,79538.0,56789.0,27692.0,14778.0,2766.0,77.0,21.5880090579059,18.121943432489637,60.29004750960447
의정부시 ,464213.0,464213.0,30270.0,40369.0,59680.0,60343.0,71137.0,82385.0,67316.0,33275.0,17101.0,2263.0,74.0,25.856449517786015,15.216937052603008,58.926613429610974
안양시 ,544660.0,544660.0,35412.0,48471.0,68147.0,78448.0,82828.0,95037.0,81458.0,35598.0,16541.0,2664.0,56.0,25.02790731832703,15.400984100172584,59.57110858150039
안양시 만안구 ,230664.0,230664.0,13243.0,16611.0,29339.0,32527.0,32303.0,40752.0,38331.0,18024.0,8297.0,1210.0,27.0,28.56492560607637,12.94263517497312,58.49243921895051
안양시 동안구 ,313996.0,313996.0,22169.0,31860.0,38808.0,45921.0,50525.0,54285.0,43127.0,17574.0,8244.0,1454.0,29.0,22.429585090255927,17.20690709435789,60.363507815386185
부천시 ,779968.0,779968.0,45444.0,64437.0,98528.0,106793.0,118285.0,139754.0,127004.0,52652.0,23371.0,3592.0,108.0,26.504548904570445,14.08788565684746,59.4075654385821
광명시 ,280197.0,280197.0,18632.0,28172.0,33150.0,36706.0,46273.0,48513.0,40077.0,18794.0,8598.0,1237.0,45.0,24.53666527478881,16.70396185540887,58.75937286980232
평택시 ,591022.0,591022.0,48443.0,56196.0,76968.0,92619.0,100863.0,98139.0,68170.0,30700.0,16572.0,2291.0,61.0,19.9305609605057,17.704755491335348,62.36468354815895
동두천시 ,88626.0,88626.0,4521.0,7788.0,9650.0,8855.0,12232.0,16052.0,14931.0,8610.0,5277.0,693.0,17.0,33.317536614537495,13.888700832712749,52.79376255274976
안산시 ,629308.0,629308.0,35228.0,56041.0,93690.0,82516.0,94048.0,125407.0,90169.0,32683.0,16780.0,2663.0,83.0,22.624533614700592,14.503073216930344,62.872393168369065
안산시 상록구 ,334867.0,334867.0,17826.0,30111.0,50843.0,41705.0,49602.0,67794.0,47802.0,17889.0,9718.0,1521.0,56.0,22.990022904615863,14.3152356009998,62.694741494384346
안산시 단원구 ,294441.0,294441.0,17402.0,25930.0,42847.0,40811.0,44446.0,57613.0,42367.0,14794.0,7062.0,1142.0,27.0,22.20886357538522,14.716700459514808,63.07443596509997
고양시 ,1074907.0,1074907.0,70336.0,98947.0,134406.0,143591.0,168583.0,198739.0,149416.0,65239.0,39350.0,6149.0,151.0,24.2165136146662,15.7486182525558,60.034868132778
고양시 덕양구 ,496438.0,496438.0,35940.0,41413.0,58770.0,72872.0,78922.0,85915.0,69326.0,32390.0,18179.0,2651.0,60.0,24.69714244276224,15.581603342209904,59.72125421502786
고양시 일산동구 ,291597.0,291597.0,17060.0,27372.0,38797.0,37031.0,45369.0,56352.0,40944.0,16531.0,10278.0,1813.0,50.0,23.874045343402024,15.237468149535148,60.88848650706284
고양시 일산서구 ,286872.0,286872.0,17336.0,30162.0,36839.0,33688.0,44292.0,56472.0,39146.0,16318.0,10893.0,1685.0,41.0,23.73288435260325,16.557210184333083,59.70990546306366
과천시 ,81000.0,81000.0,7995.0,7890.0,9503.0,12022.0,12474.0,13229.0,10600.0,4448.0,2385.0,445.0,9.0,22.08271604938272,19.611111111111114,58.306172839506175
구리시 ,187093.0,187093.0,11817.0,16744.0,23177.0,23913.0,29694.0,34526.0,28040.0,12506.0,5899.0,754.0,23.0,25.239853976364696,15.265670014377877,59.49447600925743
남양주시 ,732265.0,732265.0,54337.0,79299.0,81665.0,85052.0,128329.0,127403.0,98255.0,50512.0,24017.0,3269.0,127.0,24.059595911316254,18.249677370897142,57.69072671778659
오산시 ,229656.0,229656.0,18139.0,25482.0,28851.0,34992.0,44413.0,36503.0,24599.0,10845.0,5154.0,668.0,10.0,17.972968265579826,18.99406068206361,63.032971052356565
시흥시 ,519715.0,519715.0,43910.0,51516.0,64220.0,76407.0,93191.0,92668.0,62438.0,22604.0,11021.0,1689.0,51.0,18.818583261980123,18.36121720558383,62.82019953243605
군포시 ,261229.0,261229.0,15408.0,23938.0,33421.0,35657.0,39333.0,47043.0,39626.0,16489.0,8776.0,1492.0,46.0,25.42941250779967,15.061880572218245,59.50870691998208
의왕시 ,158870.0,158870.0,11620.0,13402.0,19759.0,22979.0,22715.0,27898.0,24751.0,10072.0,4803.0,844.0,27.0,25.49065273494052,15.749984263863537,58.75936300119594
하남시 ,329861.0,329861.0,30685.0,31773.0,35977.0,51573.0,61110.0,48250.0,41700.0,20089.0,7495.0,1166.0,43.0,21.37051667217404,18.934642167458414,59.69484116036755
용인시 ,1075566.0,1075566.0,81223.0,120355.0,132631.0,133020.0,190127.0,183137.0,123235.0,70868.0,35730.0,5102.0,138.0,21.855748508227297,18.741574203721576,59.40267728805113
용인시 처인구 ,261488.0,261488.0,17293.0,24728.0,32807.0,32165.0,42678.0,45901.0,37545.0,18145.0,8809.0,1384.0,33.0,25.20804013950927,16.069953496909992,58.72200636358074
용인시 기흥구 ,436656.0,436656.0,32651.0,50015.0,55201.0,52410.0,77672.0,75559.0,47834.0,28453.0,14669.0,2122.0,70.0,21.332124143490528,18.9316074896486,59.73626836686087
용인시 수지구 ,377422.0,377422.0,31279.0,45612.0,44623.0,48445.0,69777.0,61677.0,37856.0,24270.0,12252.0,1596.0,35.0,20.138995607039337,20.3726862768996,59.488318116061066
파주시 ,497753.0,497753.0,40067.0,51856.0,56512.0,69216.0,84109.0,82770.0,61802.0,31019.0,17725.0,2606.0,71.0,22.746824228081,18.467593364580427,58.78558240733858
이천시 ,222098.0,222098.0,15505.0,21877.0,28876.0,30294.0,34510.0,36450.0,31178.0,14526.0,7729.0,1123.0,30.0,24.57743878828265,16.831308701564176,58.59125251015318
안성시 ,189034.0,189034.0,11213.0,17415.0,22134.0,21541.0,29265.0,32821.0,29709.0,15166.0,8422.0,1311.0,37.0,28.907498122030955,15.14436556386682,55.94813631410223
김포시 ,486172.0,486172.0,45831.0,53091.0,49355.0,66699.0,94373.0,72951.0,58601.0,29836.0,13436.0,1945.0,54.0,21.36527813201912,20.347119949318348,58.28760191866253
화성시 ,944342.0,944342.0,95153.0,110022.0,110981.0,155558.0,183476.0,138446.0,91282.0,38675.0,17892.0,2777.0,80.0,15.95883694678411,21.726768480063367,62.31439457315252
광주시 ,391377.0,391377.0,29868.0,35005.0,41450.0,52357.0,68498.0,68090.0,57445.0,26102.0,11014.0,1491.0,57.0,24.55662954133738,16.575578023235906,58.86779243542672
양주시 ,268026.0,268026.0,21638.0,26848.0,29681.0,34043.0,43977.0,45437.0,36854.0,18725.0,9410.0,1359.0,54.0,24.77446217904233,18.09003604127958,57.13550177967809
