,진료년도,상별구분,시도,시군구,성별,0~19,20~59,60~
0,2018,우울증,서울,강남구,남,580.0,5173.0,1631.0
1,2018,우울증,서울,강남구,여,761.0,9649.0,3878.0
2,2018,우울증,서울,강동구,남,172.0,2874.0,2960.0
3,2018,우울증,서울,강동구,여,350.0,4722.0,3780.0
4,2018,우울증,서울,강서구,남,127.0,1378.0,481.0
5,2018,우울증,서울,강서구,여,276.0,2721.0,1237.0
6,2018,우울증,서울,관악구,남,150.0,1845.0,667.0
7,2018,우울증,서울,관악구,여,279.0,3257.0,1519.0
8,2018,우울증,서울,구로구,남,198.0,1643.0,788.0
9,2018,우울증,서울,구로구,여,378.0,3379.0,2139.0
10,2018,우울증,서울,도봉구,남,82.0,521.0,289.0
11,2018,우울증,서울,도봉구,여,204.0,977.0,737.0
12,2018,우울증,서울,동대문구,남,120.0,1617.0,1047.0
13,2018,우울증,서울,동대문구,여,269.0,2779.0,2550.0
14,2018,우울증,서울,동작구,남,209.0,1911.0,1049.0
15,2018,우울증,서울,동작구,여,280.0,3174.0,2383.0
16,2018,우울증,서울,마포구,남,225.0,2756.0,528.0
17,2018,우울증,서울,마포구,여,511.0,5795.0,1402.0
18,2018,우울증,서울,서대문구,남,144.0,1460.0,854.0
19,2018,우울증,서울,서대문구,여,236.0,2641.0,2318.0
20,2018,우울증,서울,성동구,남,94.0,820.0,285.0
21,2018,우울증,서울,성동구,여,174.0,1548.0,736.0
22,2018,우울증,서울,성북구,남,150.0,949.0,634.0
23,2018,우울증,서울,성북구,여,225.0,1896.0,1874.0
24,2018,우울증,서울,영등포구,남,102.0,1563.0,721.0
25,2018,우울증,서울,영등포구,여,156.0,2418.0,1931.0
26,2018,우울증,서울,용산구,남,40.0,511.0,227.0
27,2018,우울증,서울,용산구,여,61.0,947.0,584.0
28,2018,우울증,서울,은평구,남,138.0,1058.0,624.0
29,2018,우울증,서울,은평구,여,268.0,2366.0,1680.0
30,2018,우울증,서울,종로구,남,294.0,2018.0,1883.0
31,2018,우울증,서울,종로구,여,472.0,4244.0,5926.0
32,2018,우울증,서울,중구,남,49.0,988.0,434.0
33,2018,우울증,서울,중구,여,126.0,1721.0,1034.0
34,2018,우울증,서울,송파구,남,469.0,2622.0,1213.0
35,2018,우울증,서울,송파구,여,667.0,5190.0,2825.0
36,2018,우울증,서울,중랑구,남,130.0,1121.0,707.0
37,2018,우울증,서울,중랑구,여,171.0,2109.0,1480.0
38,2018,우울증,서울,양천구,남,193.0,960.0,486.0
39,2018,우울증,서울,양천구,여,287.0,2117.0,1323.0
40,2018,우울증,서울,서초구,남,364.0,3283.0,1150.0
41,2018,우울증,서울,서초구,여,586.0,6735.0,3116.0
42,2018,우울증,서울,노원구,남,256.0,1469.0,951.0
43,2018,우울증,서울,노원구,여,370.0,3108.0,2798.0
44,2018,우울증,서울,광진구,남,212.0,1565.0,620.0
45,2018,우울증,서울,광진구,여,326.0,2616.0,1578.0
46,2018,우울증,서울,강북구,남,46.0,431.0,350.0
47,2018,우울증,서울,강북구,여,88.0,1174.0,913.0
48,2018,우울증,서울,금천구,남,37.0,652.0,320.0
49,2018,우울증,서울,금천구,여,70.0,1209.0,791.0
50,2018,우울증,부산,부산남구,남,46.0,549.0,361.0
51,2018,우울증,부산,부산남구,여,74.0,984.0,1040.0
52,2018,우울증,부산,부산동구,남,48.0,663.0,648.0
53,2018,우울증,부산,부산동구,여,55.0,1454.0,2226.0
54,2018,우울증,부산,부산동래구,남,94.0,826.0,722.0
55,2018,우울증,부산,부산동래구,여,149.0,1871.0,2157.0
56,2018,우울증,부산,부산진구,남,371.0,1859.0,1137.0
57,2018,우울증,부산,부산진구,여,677.0,3917.0,2852.0
58,2018,우울증,부산,부산북구,남,44.0,691.0,482.0
59,2018,우울증,부산,부산북구,여,99.0,1301.0,1052.0
60,2018,우울증,부산,부산서구,남,51.0,387.0,381.0
61,2018,우울증,부산,부산서구,여,108.0,868.0,1142.0
62,2018,우울증,부산,부산영도구,남,24.0,377.0,304.0
63,2018,우울증,부산,부산영도구,여,29.0,582.0,719.0
64,2018,우울증,부산,부산중구,남,16.0,285.0,315.0
65,2018,우울증,부산,부산중구,여,20.0,608.0,999.0
66,2018,우울증,부산,부산해운대구,남,191.0,1257.0,647.0
67,2018,우울증,부산,부산해운대구,여,329.0,2653.0,1578.0
68,2018,우울증,부산,부산사하구,남,74.0,803.0,437.0
69,2018,우울증,부산,부산사하구,여,138.0,1656.0,975.0
70,2018,우울증,부산,부산금정구,남,57.0,552.0,310.0
71,2018,우울증,부산,부산금정구,여,77.0,1062.0,652.0
72,2018,우울증,부산,부산강서구,남,0.0,82.0,10.0
73,2018,우울증,부산,부산강서구,여,13.0,123.0,0.0
74,2018,우울증,부산,부산연제구,남,184.0,586.0,484.0
