진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,우울증,서울,강남구,남,0~9세,17,143,6089540
2018,우울증,서울,강남구,남,10~19세,563,5125,341371930
2018,우울증,서울,강남구,남,20~29세,1555,11045,733848570
2018,우울증,서울,강남구,남,30~39세,1372,8814,566378520
2018,우울증,서울,강남구,남,40~49세,1200,7944,472023980
2018,우울증,서울,강남구,남,50~59세,1046,6278,373787110
2018,우울증,서울,강남구,남,60~69세,780,4243,282057380
2018,우울증,서울,강남구,남,70~79세,605,3280,242550830
2018,우울증,서울,강남구,남,80~89세,230,1291,112689490
2018,우울증,서울,강남구,남,90~99세,16,77,5095120
2018,우울증,서울,강남구,남,100세 이상,0,0,0
2018,우울증,서울,강남구,여,0~9세,0,0,0
2018,우울증,서울,강남구,여,10~19세,761,6362,504559740
2018,우울증,서울,강남구,여,20~29세,2757,20931,1344901380
2018,우울증,서울,강남구,여,30~39세,2712,20247,1303638090
2018,우울증,서울,강남구,여,40~49세,2156,15614,979696420
2018,우울증,서울,강남구,여,50~59세,2024,12817,859374530
2018,우울증,서울,강남구,여,60~69세,1882,10651,817402010
2018,우울증,서울,강남구,여,70~79세,1394,7846,698532250
2018,우울증,서울,강남구,여,80~89세,560,2777,191188780
2018,우울증,서울,강남구,여,90~99세,42,228,10743160
2018,우울증,서울,강남구,여,100세 이상,0,0,0
2018,우울증,서울,강동구,남,0~9세,0,0,0
2018,우울증,서울,강동구,남,10~19세,172,1234,69864590
2018,우울증,서울,강동구,남,20~29세,592,3365,202044680
2018,우울증,서울,강동구,남,30~39세,706,3494,164950080
2018,우울증,서울,강동구,남,40~49세,726,4004,197084030
2018,우울증,서울,강동구,남,50~59세,850,4281,210985790
2018,우울증,서울,강동구,남,60~69세,1282,5722,251308700
2018,우울증,서울,강동구,남,70~79세,1325,7747,426500810
2018,우울증,서울,강동구,남,80~89세,331,2003,101600910
2018,우울증,서울,강동구,남,90~99세,22,117,5037930
2018,우울증,서울,강동구,남,100세 이상,0,0,0
2018,우울증,서울,강동구,여,0~9세,0,0,0
2018,우울증,서울,강동구,여,10~19세,350,2992,158268620
2018,우울증,서울,강동구,여,20~29세,885,5474,265061210
2018,우울증,서울,강동구,여,30~39세,1081,7025,332848970
2018,우울증,서울,강동구,여,40~49세,1162,7769,364910870
2018,우울증,서울,강동구,여,50~59세,1594,9769,504934230
2018,우울증,서울,강동구,여,60~69세,1875,11090,582526090
2018,우울증,서울,강동구,여,70~79세,1287,7268,359108180
2018,우울증,서울,강동구,여,80~89세,571,4264,269950660
2018,우울증,서울,강동구,여,90~99세,47,521,46289030
2018,우울증,서울,강동구,여,100세 이상,0,0,0
2018,우울증,서울,강서구,남,0~9세,0,0,0
2018,우울증,서울,강서구,남,10~19세,127,1002,52361640
2018,우울증,서울,강서구,남,20~29세,386,2610,147108650
2018,우울증,서울,강서구,남,30~39세,406,2484,143971550
2018,우울증,서울,강서구,남,40~49세,322,2231,118052070
2018,우울증,서울,강서구,남,50~59세,264,1885,104393500
2018,우울증,서울,강서구,남,60~69세,236,1843,105490610
2018,우울증,서울,강서구,남,70~79세,178,1021,44539140
2018,우울증,서울,강서구,남,80~89세,67,367,11849590
2018,우울증,서울,강서구,남,90~99세,0,0,0
2018,우울증,서울,강서구,남,100세 이상,0,0,0
2018,우울증,서울,강서구,여,0~9세,0,0,0
2018,우울증,서울,강서구,여,10~19세,276,2187,122094220
2018,우울증,서울,강서구,여,20~29세,829,6353,370102680
2018,우울증,서울,강서구,여,30~39세,727,5843,323832250
2018,우울증,서울,강서구,여,40~49세,547,4475,233902840
2018,우울증,서울,강서구,여,50~59세,618,4926,254479990
2018,우울증,서울,강서구,여,60~69세,547,3654,167954790
2018,우울증,서울,강서구,여,70~79세,418,2614,117109730
2018,우울증,서울,강서구,여,80~89세,236,1662,71266110
2018,우울증,서울,강서구,여,90~99세,36,199,4561840
2018,우울증,서울,강서구,여,100세 이상,0,0,0
2018,우울증,서울,관악구,남,0~9세,0,0,0
2018,우울증,서울,관악구,남,10~19세,150,1027,72714830
2018,우울증,서울,관악구,남,20~29세,709,4450,204766710
2018,우울증,서울,관악구,남,30~39세,459,3190,149233300
2018,우울증,서울,관악구,남,40~49세,331,2530,117344150
2018,우울증,서울,관악구,남,50~59세,346,2502,107867520
2018,우울증,서울,관악구,남,60~69세,326,2750,114776110
2018,우울증,서울,관악구,남,70~79세,261,1831,68017130
2018,우울증,서울,관악구,남,80~89세,80,609,21289680
2018,우울증,서울,관악구,남,90~99세,0,0,0
2018,우울증,서울,관악구,남,100세 이상,0,0,0
2018,우울증,서울,관악구,여,0~9세,0,0,0
2018,우울증,서울,관악구,여,10~19세,279,1597,101459090
