행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,,,,,sum_60,sum_0_20,sum_20_60,oldAgePercent,childAgePercent,adultAgePercent
경상남도  ,3251158.0,3251158.0,211999.0,315947.0,322711.0,350135.0,505303.0,582857.0,529417.0,269057.0,141937.0,21352.0,443.0,1636987.0,1636987.0,109126.0,163921.0,181299.0,185290.0,259730.0,297614.0,265076.0,124074.0,46745.0,4055.0,57.0,1614171.0,1614171.0,102873.0,152026.0,141412.0,164845.0,245573.0,285243.0,264341.0,144983.0,95192.0,17297.0,386.0,,,,,962206.0,527946.0,1761006.0,29.595793252742563,16.238706331713193,54.165500415544244
창원시 ,1009038.0,1009038.0,67055.0,96798.0,110725.0,121305.0,159944.0,181804.0,161935.0,73980.0,31153.0,4263.0,76.0,510633.0,510633.0,34431.0,50250.0,62525.0,64951.0,82096.0,89972.0,79965.0,34631.0,10994.0,806.0,12.0,498405.0,498405.0,32624.0,46548.0,48200.0,56354.0,77848.0,91832.0,81970.0,39349.0,20159.0,3457.0,64.0,,,,,271407.0,163853.0,573778.0,26.897599495757348,16.238536110632108,56.863864393610555
창원시 의창구 ,213342.0,213342.0,14605.0,19255.0,24403.0,26290.0,32575.0,40208.0,35117.0,14209.0,5854.0,814.0,12.0,108453.0,108453.0,7411.0,9991.0,13771.0,14069.0,16822.0,19555.0,17813.0,6926.0,1951.0,144.0,0.0,104889.0,104889.0,7194.0,9264.0,10632.0,12221.0,15753.0,20653.0,17304.0,7283.0,3903.0,670.0,12.0,,,,,56006.0,33860.0,123476.0,26.251746022817823,15.871230231271854,57.87702374591033
창원시 성산구 ,245259.0,245259.0,16214.0,24345.0,31963.0,34285.0,37647.0,49261.0,36233.0,10679.0,3950.0,669.0,13.0,125110.0,125110.0,8278.0,12718.0,18171.0,18547.0,18501.0,23340.0,18800.0,5312.0,1325.0,116.0,2.0,120149.0,120149.0,7936.0,11627.0,13792.0,15738.0,19146.0,25921.0,17433.0,5367.0,2625.0,553.0,11.0,,,,,51544.0,40559.0,153156.0,21.016150273792196,16.537211682343973,62.446638043863835
창원시 마산합포구 ,179394.0,179394.0,11586.0,14767.0,17130.0,19625.0,26919.0,28919.0,32253.0,18618.0,8385.0,1167.0,25.0,89116.0,89116.0,6009.0,7602.0,9535.0,10317.0,14222.0,14561.0,15260.0,8418.0,2974.0,210.0,8.0,90278.0,90278.0,5577.0,7165.0,7595.0,9308.0,12697.0,14358.0,16993.0,10200.0,5411.0,957.0,17.0,,,,,60448.0,26353.0,92593.0,33.695664292005304,14.690011929050023,51.61432377894467
창원시 마산회원구 ,179818.0,179818.0,9870.0,16907.0,18182.0,18346.0,27505.0,32545.0,32025.0,17019.0,6653.0,752.0,14.0,89659.0,89659.0,5056.0,8798.0,10028.0,9807.0,14089.0,16256.0,15230.0,7764.0,2480.0,150.0,1.0,90159.0,90159.0,4814.0,8109.0,8154.0,8539.0,13416.0,16289.0,16795.0,9255.0,4173.0,602.0,13.0,,,,,56463.0,26777.0,96578.0,31.40008230544217,14.89116773626667,53.70874995829116
창원시 진해구 ,191225.0,191225.0,14780.0,21524.0,19047.0,22759.0,35298.0,30871.0,26307.0,13455.0,6311.0,861.0,12.0,98295.0,98295.0,7677.0,11141.0,11020.0,12211.0,18462.0,16260.0,12862.0,6211.0,2264.0,186.0,1.0,92930.0,92930.0,7103.0,10383.0,8027.0,10548.0,16836.0,14611.0,13445.0,7244.0,4047.0,675.0,11.0,,,,,46946.0,36304.0,107975.0,24.550137272846122,18.98496535494836,56.46489737220551
진주시 ,341074.0,341074.0,23456.0,33860.0,40929.0,38981.0,50492.0,57815.0,51546.0,27510.0,14343.0,2091.0,51.0,168392.0,168392.0,12076.0,17709.0,22428.0,20528.0,24905.0,28602.0,24739.0,12252.0,4748.0,400.0,5.0,172682.0,172682.0,11380.0,16151.0,18501.0,18453.0,25587.0,29213.0,26807.0,15258.0,9595.0,1691.0,46.0,,,,,95541.0,57316.0,188217.0,28.01180975389505,16.804564405378304,55.18362584072665
통영시 ,120551.0,120551.0,6657.0,12388.0,9231.0,10226.0,19387.0,21778.0,22314.0,12196.0,5637.0,724.0,13.0,60517.0,60517.0,3347.0,6382.0,5252.0,5249.0,10205.0,11466.0,10924.0,5687.0,1879.0,126.0,0.0,60034.0,60034.0,3310.0,6006.0,3979.0,4977.0,9182.0,10312.0,11390.0,6509.0,3758.0,598.0,13.0,,,,,40884.0,19045.0,60622.0,33.91427694502742,15.798292838715563,50.28743021625702
사천시 ,109030.0,109030.0,6459.0,10113.0,9646.0,10399.0,16593.0,18971.0,18267.0,11125.0,6417.0,1024.0,16.0,55139.0,55139.0,3317.0,5229.0,5862.0,5767.0,8682.0,10110.0,8999.0,4921.0,2071.0,179.0,2.0,53891.0,53891.0,3142.0,4884.0,3784.0,4632.0,7911.0,8861.0,9268.0,6204.0,4346.0,845.0,14.0,,,,,36849.0,16572.0,55609.0,33.79712005869944,15.199486379895442,51.00339356140512
