행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,sum_60,sum_0_20,sum_20_60,oldAgePercent,childAgePercent,adultAgePercent
전국  ,51325329,51325329,3332892,4651460,6197486,6575548,7922134,8695699,7630708,3966203,2045024,299638,8537,25565736,25565736,1708010,2393339,3236838,3420991,4028250,4385550,3755827,1818730,748225,68553,1423,25759593,25759593,1624882,2258121,2960648,3154557,3893884,4310149,3874881,2147473,1296799,231085,7114,13950110,7984352,37021575,27.17977706484843,15.556358148235153,72.13119861345653
서울특별시  ,9386034,9386034,513562,733211,1355811,1427405,1420073,1495557,1315938,738469,339214,45346,1448,4540031,4540031,263448,375346,643229,713915,703001,734760,622855,334075,137024,12059,319,4846003,4846003,250114,357865,712582,713490,717072,760797,693083,404394,202190,33287,1129,2440415,1246773,7014784,26.000491794510864,13.283278112992134,74.736400912249
부산광역시  ,3293362,3293362,194403,263339,377587,390659,484716,541925,560720,320407,141906,17268,432,1605431,1605431,99689,135082,193992,201309,244820,264670,264259,144256,53412,3880,62,1687931,1687931,94714,128257,183595,189350,239896,277255,296461,176151,88494,13388,370,1040733,457742,2355607,31.600929384622766,13.898927600427768,71.52590574616455
대구광역시  ,2374960,2374960,150403,214121,282470,279965,356114,420799,365980,195523,96888,12432,265,1166803,1166803,77161,110515,148961,149088,176398,205400,175097,86180,35074,2897,32,1208157,1208157,73242,103606,133509,130877,179716,215399,190883,109343,61814,9535,233,671088,364524,1705328,28.256812746319937,15.348637450736014,71.80449354936505
인천광역시  ,2997410,2997410,202329,272079,364103,413085,480780,516033,441411,197825,94397,14877,491,1499016,1499016,103733,139614,188915,215282,247250,256886,218084,91836,34124,3192,100,1498394,1498394,98596,132465,175188,197803,233530,259147,223327,105989,60273,11685,391,749001,474408,2215412,24.988273209203946,15.827264204763447,73.91087638994999
광주광역시  ,1419237,1419237,99779,147525,190905,174075,227259,240674,184732,99128,48185,6768,207,700896,700896,51028,76188,99724,89847,113235,119067,88343,43912,18019,1516,17,718341,718341,48751,71337,91181,84228,114024,121607,96389,55216,30166,5252,190,339020,247304,1017645,23.887483204003278,17.42513759153686,71.70366894324204
대전광역시  ,1442216,1442216,96727,137836,199228,187965,220131,243258,202026,99140,48573,7121,211,719292,719292,49790,71227,104190,99375,109916,121334,97866,45677,18132,1753,32,722924,722924,46937,66609,95038,88590,110215,121924,104160,53463,30441,5368,179,357071,234563,1052608,24.758496646826828,16.264068627722892,72.98546126239064
울산광역시  ,1103661,1103661,79086,109462,122522,136909,178114,204814,169307,71586,28057,3725,79,567153,567153,40621,57056,69651,74334,91773,102900,85401,34534,10146,728,9,536508,536508,38465,52406,52871,62575,86341,101914,83906,37052,17911,2997,70,272754,188548,811666,24.713566937673797,17.083869050369632,73.54305352821201
세종특별자치시  ,386525,386525,43541,50736,37810,59340,77183,54433,37233,16478,8234,1494,43,192524,192524,22122,25585,19199,29268,38244,28501,18533,7793,2972,302,5,194001,194001,21419,25151,18611,30072,38939,25932,18700,8685,5262,1192,38,63482,94277,265999,16.42377595239635,24.390919086734364,68.81805834034022
경기도  ,13630821,13630821,989550,1320631,1682138,1878734,2256931,2335999,1831793,847103,423029,63061,1852,6855895,6855895,506358,675747,885110,979572,1150795,1177701,914132,391368,159419,15304,389,6774926,6774926,483192,644884,797028,899162,1106136,1158298,917661,455735,263610,47757,1463,3166838,2310181,9985595,23.232921920110314,16.948216105251472,73.25747289910124
