행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,,,,,sum_60,sum_0_20,sum_20_60,oldAgePercent,childAgePercent,adultAgePercent
전라남도  ,1804217.0,1804217.0,107726.0,158933.0,178152.0,169502.0,240813.0,310282.0,305457.0,189922.0,123690.0,19148.0,592.0,909548.0,909548.0,55007.0,81807.0,99758.0,89471.0,127824.0,167170.0,156840.0,87378.0,40423.0,3801.0,69.0,894669.0,894669.0,52719.0,77126.0,78394.0,80031.0,112989.0,143112.0,148617.0,102544.0,83267.0,15347.0,523.0,,,,,638809.0,266659.0,898749.0,35.40643946930996,14.779763188130918,49.81379734255913
목포시 ,214156.0,214156.0,13517.0,23295.0,24374.0,21564.0,34520.0,36966.0,31554.0,18536.0,8672.0,1121.0,37.0,106416.0,106416.0,6953.0,11907.0,13291.0,11027.0,17771.0,18953.0,14916.0,8264.0,3084.0,245.0,5.0,107740.0,107740.0,6564.0,11388.0,11083.0,10537.0,16749.0,18013.0,16638.0,10272.0,5588.0,876.0,32.0,,,,,59920.0,36812.0,117424.0,27.979603653411534,17.18933861297372,54.83105773361475
여수시 ,271696.0,271696.0,17081.0,24643.0,29965.0,28128.0,38658.0,47483.0,44924.0,26101.0,12770.0,1881.0,62.0,138354.0,138354.0,8705.0,12622.0,16977.0,15312.0,20240.0,25044.0,22348.0,12232.0,4501.0,366.0,7.0,133342.0,133342.0,8376.0,12021.0,12988.0,12816.0,18418.0,22439.0,22576.0,13869.0,8269.0,1515.0,55.0,,,,,85738.0,41724.0,144234.0,31.556592662387374,15.356869442317885,53.08653789529474
순천시 ,278137.0,278137.0,20198.0,28668.0,33557.0,32076.0,40476.0,49124.0,40507.0,19932.0,11671.0,1879.0,49.0,138814.0,138814.0,10352.0,14799.0,18361.0,16656.0,20007.0,24551.0,20413.0,9352.0,3937.0,382.0,4.0,139323.0,139323.0,9846.0,13869.0,15196.0,15420.0,20469.0,24573.0,20094.0,10580.0,7734.0,1497.0,45.0,,,,,74038.0,48866.0,155233.0,26.619255978169033,17.569039717836894,55.81170430399407
나주시 ,117377.0,117377.0,8994.0,10111.0,11390.0,14165.0,17039.0,17538.0,18239.0,11190.0,7475.0,1198.0,38.0,59261.0,59261.0,4619.0,5208.0,5998.0,7302.0,9199.0,9644.0,9503.0,5141.0,2392.0,248.0,7.0,58116.0,58116.0,4375.0,4903.0,5392.0,6863.0,7840.0,7894.0,8736.0,6049.0,5083.0,950.0,31.0,,,,,38140.0,19105.0,60132.0,32.49358903362669,16.2766129650613,51.22979800131201
광양시 ,152666.0,152666.0,11427.0,15663.0,17976.0,18305.0,22862.0,30143.0,21190.0,9025.0,5146.0,898.0,31.0,79892.0,79892.0,5802.0,8027.0,10444.0,9965.0,12059.0,16084.0,11285.0,4373.0,1703.0,149.0,1.0,72774.0,72774.0,5625.0,7636.0,7532.0,8340.0,10803.0,14059.0,9905.0,4652.0,3443.0,749.0,30.0,,,,,36290.0,27090.0,89286.0,23.770846160900266,17.74461897213525,58.48453486696449
담양군 ,45373.0,45373.0,1973.0,2912.0,3831.0,3355.0,4763.0,7977.0,9429.0,6032.0,4403.0,664.0,34.0,22961.0,22961.0,977.0,1501.0,2221.0,1729.0,2641.0,4408.0,5040.0,2848.0,1446.0,147.0,3.0,22412.0,22412.0,996.0,1411.0,1610.0,1626.0,2122.0,3569.0,4389.0,3184.0,2957.0,517.0,31.0,,,,,20562.0,4885.0,19926.0,45.31769995371697,10.766314768695038,43.91598527758799
곡성군 ,26905.0,26905.0,786.0,1644.0,2029.0,1539.0,2588.0,4630.0,5709.0,3942.0,3399.0,624.0,15.0,13375.0,13375.0,392.0,907.0,1134.0,819.0,1418.0,2585.0,3093.0,1822.0,1071.0,133.0,1.0,13530.0,13530.0,394.0,737.0,895.0,720.0,1170.0,2045.0,2616.0,2120.0,2328.0,491.0,14.0,,,,,13689.0,2430.0,10786.0,50.8790187697454,9.031778479836463,40.08920275041814
구례군 ,24314.0,24314.0,832.0,1608.0,1600.0,1339.0,2388.0,4411.0,5214.0,3592.0,2875.0,447.0,8.0,11890.0,11890.0,404.0,834.0,915.0,663.0,1279.0,2438.0,2722.0,1640.0,904.0,90.0,1.0,12424.0,12424.0,428.0,774.0,685.0,676.0,1109.0,1973.0,2492.0,1952.0,1971.0,357.0,7.0,,,,,12136.0,2440.0,9738.0,49.91363000740314,10.035370568396807,40.05099942420005
고흥군 ,61113.0,61113.0,2052.0,3391.0,3491.0,3162.0,5444.0,9517.0,13458.0,10909.0,8123.0,1513.0,53.0,29893.0,29893.0,1015.0,1800.0,2027.0,1706.0,3077.0,5473.0,6935.0,4913.0,2634.0,307.0,6.0,31220.0,31220.0,1037.0,1591.0,1464.0,1456.0,2367.0,4044.0,6523.0,5996.0,5489.0,1206.0,47.0,,,,,34056.0,5443.0,21614.0,55.726277551421134,8.906451982393271,35.36727046618559
보성군 ,37686.0,37686.0,1253.0,2289.0,2356.0,2051.0,3436.0,6118.0,8068.0,6116.0,5073.0,896.0,30.0,18465.0,18465.0,652.0,1171.0,1345.0,1134.0,1906.0,3510.0,4207.0,2775.0,1576.0,185.0,4.0,19221.0,19221.0,601.0,1118.0,1011.0,917.0,1530.0,2608.0,3861.0,3341.0,3497.0,711.0,26.0,,,,,20183.0,3542.0,13961.0,53.55569707583718,9.39871570344425,37.045587220718566
화순군 ,61254.0,61254.0,2728.0,5099.0,6180.0,4530.0,7074.0,11231.0,11136.0,7073.0,5404.0,781.0,18.0,30322.0,30322.0,1415.0,2664.0,3284.0,2336.0,3620.0,6026.0,5965.0,3151.0,1697.0,163.0,1.0,30932.0,30932.0,1313.0,2435.0,2896.0,2194.0,3454.0,5205.0,5171.0,3922.0,3707.0,618.0,17.0,,,,,24412.0,7827.0,29015.0,39.85372383844321,12.77794103242237,47.36833512913442
장흥군 ,35046.0,35046.0,1481.0,2439.0,2492.0,2270.0,3535.0,5881.0,7044.0,5065.0,4102.0,719.0,18.0,17121.0,17121.0,736.0,1275.0,1424.0,1192.0,1981.0,3236.0,3570.0,2290.0,1279.0,133.0,5.0,17925.0,17925.0,745.0,1164.0,1068.0,1078.0,1554.0,2645.0,3474.0,2775.0,2823.0,586.0,13.0,,,,,16948.0,3920.0,14178.0,48.35929920675683,11.185299320892542,40.45540147235063
강진군 ,32722.0,32722.0,1380.0,2256.0,2360.0,2133.0,3236.0,5265.0,6750.0,4907.0,3771.0,652.0,12.0,15949.0,15949.0,680.0,1176.0,1339.0,1110.0,1736.0,2905.0,3460.0,2210.0,1216.0,115.0,2.0,16773.0,16773.0,700.0,1080.0,1021.0,1023.0,1500.0,2360.0,3290.0,2697.0,2555.0,537.0,10.0,,,,,16092.0,3636.0,12994.0,49.17792310983436,11.11179023287085,39.71028665729479
해남군 ,64575.0,64575.0,2940.0,4712.0,4767.0,4088.0,6934.0,10909.0,13133.0,9431.0,6663.0,970.0,28.0,32249.0,32249.0,1520.0,2391.0,2766.0,2211.0,3788.0,6166.0,6788.0,4285.0,2158.0,175.0,1.0,32326.0,32326.0,1420.0,2321.0,2001.0,1877.0,3146.0,4743.0,6345.0,5146.0,4505.0,795.0,27.0,,,,,30225.0,7652.0,26698.0,46.80603948896632,11.849787069299264,41.34417344173442
영암군 ,52350.0,52350.0,2597.0,4090.0,4726.0,3976.0,6978.0,9506.0,9425.0,6029.0,4323.0,680.0,20.0,27372.0,27372.0,1349.0,2120.0,2829.0,2121.0,4135.0,5513.0,5069.0,2733.0,1349.0,151.0,3.0,24978.0,24978.0,1248.0,1970.0,1897.0,1855.0,2843.0,3993.0,4356.0,3296.0,2974.0,529.0,17.0,,,,,20477.0,6687.0,25186.0,39.115568290353394,12.773638968481377,48.110792741165234
무안군 ,90296.0,90296.0,7105.0,10066.0,9201.0,10118.0,14446.0,13625.0,12362.0,7893.0,4769.0,690.0,21.0,45431.0,45431.0,3674.0,5089.0,4966.0,5094.0,7521.0,7429.0,6326.0,3707.0,1501.0,124.0,0.0,44865.0,44865.0,3431.0,4977.0,4235.0,5024.0,6925.0,6196.0,6036.0,4186.0,3268.0,566.0,21.0,,,,,25735.0,17171.0,47390.0,28.500708780012403,19.016346239036057,52.482944980951544
함평군 ,30601.0,30601.0,984.0,1853.0,2096.0,1786.0,2954.0,5229.0,6532.0,4703.0,3835.0,610.0,19.0,15505.0,15505.0,496.0,995.0,1222.0,968.0,1732.0,3113.0,3543.0,2092.0,1219.0,124.0,1.0,15096.0,15096.0,488.0,858.0,874.0,818.0,1222.0,2116.0,2989.0,2611.0,2616.0,486.0,18.0,,,,,15699.0,2837.0,12065.0,51.3022450246724,9.270938858207249,39.42681611712035
영광군 ,51750.0,51750.0,3402.0,3912.0,4452.0,4505.0,6064.0,8338.0,9147.0,6692.0,4636.0,574.0,28.0,25874.0,25874.0,1690.0,2019.0,2498.0,2303.0,3371.0,4663.0,4778.0,2956.0,1477.0,114.0,5.0,25876.0,25876.0,1712.0,1893.0,1954.0,2202.0,2693.0,3675.0,4369.0,3736.0,3159.0,460.0,23.0,,,,,21077.0,7314.0,23359.0,40.72850241545894,14.133333333333335,45.138164251207726
장성군 ,42543.0,42543.0,1980.0,3002.0,3611.0,3145.0,4808.0,7387.0,8222.0,5622.0,4171.0,574.0,21.0,21892.0,21892.0,1008.0,1540.0,2162.0,1727.0,2656.0,4227.0,4450.0,2639.0,1342.0,136.0,5.0,20651.0,20651.0,972.0,1462.0,1449.0,1418.0,2152.0,3160.0,3772.0,2983.0,2829.0,438.0,16.0,,,,,18610.0,4982.0,18951.0,43.743976682415436,11.710504665867475,44.54551865171709
완도군 ,46641.0,46641.0,2417.0,3352.0,3128.0,3087.0,5542.0,7460.0,9181.0,6870.0,4868.0,718.0,18.0,23545.0,23545.0,1268.0,1752.0,1833.0,1677.0,3211.0,4270.0,4648.0,3143.0,1602.0,140.0,1.0,23096.0,23096.0,1149.0,1600.0,1295.0,1410.0,2331.0,3190.0,4533.0,3727.0,3266.0,578.0,17.0,,,,,21655.0,5769.0,19217.0,46.42910743766214,12.368945777320384,41.201946785017476
진도군 ,28979.0,28979.0,1295.0,1993.0,2184.0,1893.0,3127.0,4799.0,5716.0,4272.0,3229.0,457.0,14.0,14453.0,14453.0,617.0,1022.0,1272.0,1008.0,1827.0,2765.0,2962.0,1950.0,957.0,71.0,2.0,14526.0,14526.0,678.0,971.0,912.0,885.0,1300.0,2034.0,2754.0,2322.0,2272.0,386.0,12.0,,,,,13688.0,3288.0,12003.0,47.234204078815694,11.346147210048656,41.41964871113565
